Image Name,Blur Label
Original_1,-1
Original_2,-1
Original_3,-1
Original_4,1
Original_5,1
Original_6,1
Original_7,-1
Original_8,-1
Original_9,-1
Original_10,-1
Original_11,-1
Original_12,-1
Original_13,-1
Original_14,-1
Original_15,-1
Original_16,1
Original_17,1
Original_18,-1
Original_19,1
Original_20,-1
Original_21,-1
Original_22,1
Original_23,-1
Original_24,-1
Original_25,-1
Original_26,-1
Original_27,-1
Original_28,-1
Original_29,1
Original_30,1
Original_31,-1
Original_32,-1
Original_33,-1
Original_34,1
Original_35,-1
Original_36,1
Original_37,-1
Original_38,-1
Original_39,-1
Original_40,-1
Original_41,-1
Original_42,-1
Original_43,1
Original_44,1
Original_45,-1
Original_46,-1
Original_47,-1
Original_48,-1
Original_49,-1
Original_50,1
Original_51,-1
Original_52,-1
Original_53,-1
Original_54,-1
Original_55,-1
Original_56,-1
Original_57,-1
Original_58,-1
Original_59,-1
Original_60,-1
Original_61,-1
Original_62,-1
Original_63,-1
Original_64,-1
Original_65,-1
Original_66,-1
Original_67,-1
Original_68,-1
Original_69,1
Original_70,-1
Original_71,-1
Original_72,-1
Original_73,1
Original_74,-1
Original_75,-1
Original_76,-1
Original_77,-1
Original_78,-1
Original_79,-1
Original_80,-1
Original_81,-1
Original_82,-1
Original_83,-1
Original_84,-1
Original_85,-1
Original_86,-1
Original_87,-1
Original_88,1
Original_89,1
Original_90,-1
Original_91,-1
Original_92,-1
Original_93,-1
Original_94,-1
Original_95,-1
Original_96,-1
Original_97,1
Original_98,1
Original_99,1
Original_100,-1
Original_101,-1
Original_102,-1
Original_103,-1
Original_104,-1
Original_105,-1
Original_106,-1
Original_107,-1
Original_108,-1
Original_109,1
Original_110,1
Original_111,-1
Original_112,1
Original_113,1
Original_114,-1
Original_115,1
Original_116,-1
Original_117,-1
Original_118,-1
Original_119,-1
Original_120,1
Original_121,1
Original_122,-1
Original_123,-1
Original_124,-1
Original_125,1
Original_126,-1
Original_127,-1
Original_128,-1
Original_129,1
Original_130,-1
Original_131,-1
Original_132,-1
Original_133,-1
Original_134,1
Original_135,-1
Original_136,-1
Original_137,-1
Original_138,-1
Original_139,-1
Original_140,1
Original_141,1
Original_142,-1
Original_143,-1
Original_144,-1
Original_145,-1
Original_146,-1
Original_147,-1
Original_148,-1
Original_149,-1
Original_150,-1
Original_151,-1
Original_152,-1
Original_153,-1
Original_154,-1
Original_155,1
Original_156,-1
Original_157,-1
Original_158,-1
Original_159,-1
Original_160,-1
Original_161,-1
Original_162,-1
Original_163,-1
Original_164,-1
Original_165,-1
Original_166,-1
Original_167,-1
Original_168,-1
Original_169,-1
Original_170,-1
Original_171,-1
Original_172,-1
Original_173,-1
Original_174,-1
Original_175,-1
Original_176,-1
Original_177,-1
Original_178,-1
Original_179,-1
Original_180,-1
Original_181,-1
Original_182,-1
Original_183,1
Original_184,-1
Original_185,1
Original_186,-1
Original_187,-1
Original_188,-1
Original_189,-1
Original_190,-1
Original_191,-1
Original_192,-1
Original_193,-1
Original_194,-1
Original_195,-1
Original_196,-1
Original_197,-1
Original_198,-1
Original_199,-1
Original_200,-1
Original_201,-1
Original_202,-1
Original_203,-1
Original_204,-1
Original_205,-1
Original_206,1
Original_207,1
Original_208,1
Original_209,-1
Original_210,-1
Original_211,1
Original_212,-1
Original_213,-1
Original_214,-1
Original_215,-1
Original_216,1
Original_217,1
Original_218,1
Original_219,-1
Original_220,1
Original_221,1
Original_222,-1
Original_223,-1
Original_224,-1
Original_225,-1
Original_226,-1
Original_227,-1
Original_228,-1
Original_229,-1
Original_230,1
Original_231,1
Original_232,-1
Original_233,-1
Original_234,-1
Original_235,-1
Original_236,-1
Original_237,-1
Original_238,-1
Original_239,1
Original_240,-1
Original_241,-1
Original_242,-1
Original_243,-1
Original_244,1
Original_245,-1
Original_246,-1
Original_247,-1
Original_248,-1
Original_249,-1
Original_250,-1
Original_251,-1
Original_252,-1
Original_253,-1
Original_254,1
Original_255,1
Original_256,1
Original_257,-1
Original_258,-1
Original_259,-1
Original_260,-1
Original_261,-1
Original_262,-1
Original_263,-1
Original_264,-1
Original_265,-1
Original_266,-1
Original_267,1
Original_268,-1
Original_269,-1
Original_270,-1
Original_271,-1
Original_272,-1
Original_273,-1
Original_274,-1
Original_275,-1
Original_276,-1
Original_277,1
Original_278,1
Original_279,-1
Original_280,-1
Original_281,1
Original_282,-1
Original_283,-1
Original_284,1
Original_285,1
Original_286,1
Original_287,-1
Original_288,1
Original_289,-1
Original_290,-1
Original_291,1
Original_292,1
Original_293,1
Original_294,1
Original_295,1
Original_296,-1
Original_297,1
Original_298,1
Original_299,1
Original_300,1
Original_301,-1
Original_302,1
Original_303,1
Original_304,1
Original_305,-1
Original_306,1
Original_307,1
Original_308,-1
Original_309,1
Original_310,1
Original_311,1
Original_312,1
Original_313,1
Original_314,-1
Original_315,1
Original_316,1
Original_317,-1
Original_318,1
Original_319,1
Original_320,1
Original_321,1
Original_322,1
Original_323,1
Original_324,-1
Original_325,-1
Original_326,-1
Original_327,-1
Original_328,-1
Original_329,-1
Original_330,-1
Original_331,-1
Original_332,-1
Original_333,-1
Original_334,-1
Original_335,1
Original_336,-1
Original_337,1
Original_338,-1
Original_339,1
Original_340,1
Original_341,-1
Original_342,-1
Original_343,-1
Original_344,-1
Original_345,-1
Original_346,-1
Original_347,-1
Original_348,1
Original_349,1
Original_350,-1
Original_351,-1
Original_352,-1
Original_353,-1
Original_354,-1
Original_355,-1
Original_356,-1
Original_357,-1
Original_358,-1
Original_359,1
Original_360,1
Original_361,1
Original_362,-1
Original_363,-1
Original_364,-1
Original_365,-1
Original_366,-1
Original_367,-1
Original_368,-1
Original_369,-1
Original_370,-1
Original_371,-1
Original_372,-1
Original_373,-1
Original_374,1
Original_375,-1
Original_376,-1
Original_377,-1
Original_378,1
Original_379,1
Original_380,1
Original_381,-1
Original_382,-1
Original_383,-1
Original_384,-1
Original_385,-1
Original_386,-1
Original_387,-1
Original_388,-1
Original_389,-1
Original_390,-1
Original_391,-1
Original_392,1
Original_393,-1
Original_394,-1
Original_395,1
Original_396,-1
Original_397,-1
Original_398,1
Original_399,-1
Original_400,-1
Original_401,-1
Original_402,-1
Original_403,-1
Original_404,1
Original_405,-1
Original_406,-1
Original_407,-1
Original_408,-1
Original_409,-1
Original_410,-1
Original_411,-1
Original_412,-1
Original_413,-1
Original_414,-1
Original_415,-1
Original_416,-1
Original_417,-1
Original_418,-1
Original_419,-1
Original_420,-1
Original_421,-1
Original_422,-1
Original_423,-1
Original_424,1
Original_425,-1
Original_426,1
Original_427,-1
Original_428,1
Original_429,1
Original_430,-1
Original_431,-1
Original_432,-1
Original_433,-1
Original_434,1
Original_435,-1
Original_436,-1
Original_437,-1
Original_438,-1
Original_439,1
Original_440,-1
Original_441,1
Original_442,1
Original_443,-1
Original_444,-1
Original_445,-1
Original_446,-1
Original_447,-1
Original_448,-1
Original_449,-1
Original_450,-1
Original_451,-1
Original_452,-1
Original_453,1
Original_454,1
Original_455,-1
Original_456,-1
Original_457,-1
Original_458,-1
Original_459,-1
Original_460,-1
Original_461,-1
Original_462,-1
Original_463,-1
Original_464,-1
Original_465,1
Original_466,1
Original_467,1
Original_468,-1
Original_469,-1
Original_470,-1
Original_471,-1
Original_472,-1
Original_473,-1
Original_474,-1
Original_475,-1
Original_476,-1
Original_477,-1
Original_478,-1
Original_479,-1
Original_480,-1
Original_481,-1
Original_482,-1
Original_483,-1
Original_484,-1
Original_485,-1
Original_486,-1
Original_487,-1
Original_488,1
Original_489,1
Original_490,-1
Original_491,-1
Original_492,-1
Original_493,-1
Original_494,1
Original_495,-1
Original_496,1
Original_497,-1
Original_498,1
Original_499,1
Original_500,-1
Original_501,1
Original_502,-1
Original_503,1
Original_504,1
Original_505,1
Original_506,1
Original_507,1
Original_508,-1
Original_509,1
Original_510,1
Original_511,-1
Original_512,1
Original_513,-1
Original_514,-1
Original_515,-1
Original_516,1
Original_517,1
Original_518,1
Original_519,-1
Original_520,-1
Original_521,-1
Original_522,1
Original_523,-1
Original_524,-1
Original_525,1
Original_526,1
Original_527,1
Original_528,-1
Original_529,1
Original_530,1
Original_531,1
Original_532,-1
Original_533,1
Original_534,1
Original_535,-1
Original_536,1
Original_537,1
Original_538,-1
Original_539,1
Original_540,1
Original_541,1
Original_542,1
Original_543,1
Original_544,-1
Original_545,1
Original_546,1
Original_547,-1
Original_548,-1
Original_549,-1
Original_550,1
Original_551,1
Original_552,1
Original_553,1
Original_554,-1
Original_555,1
Original_556,-1
Original_557,1
Original_558,1
Original_559,1
Original_560,1
Original_561,1
Original_562,1
Original_563,1
Original_564,-1
Original_565,-1
Original_566,-1
Original_567,-1
Original_568,-1
Original_569,1
